mysql> SELECT * FROM Personnals_info;
+----------------------+-----------+-----------+
| Emails               | Phonenos  | Cities    |
+----------------------+-----------+-----------+
| 53e1228@hotmail.com  |  982958   |  Lucknow  |
| 4e68a8c@hotmail.com  |  9810776  |  Chennai  |
| 7650b89@yahoo.com    |  9832386  |  Kolkatta |
| f9b1317@yahoo.com    |  9815433  |  Delhi    |
| fd6515f@me.com       |  9820667  |  Delhi    |
| b389f91@gmail.com    |  983429   |  Kolkatta |
| 7b60d9f@me.com       |  983392   |  Mumbai   |
| f415e11@yahoo.com    |  9816538  |  Lucknow  |
| cfd4611@hotmail.com  |  9819398  |  Kolkatta |
| 53ac4bc@yahoo.com    |  989347   |  Kolkatta |
| 61f8cf9@me.com       |  986701   |  Kolkatta |
| c311d98@gmail.com    |  9813477  |  Chennai  |
| 18e7b58@hotmail.com  |  985633   |  Mumbai   |
| 53a8322@hotmail.com  |  9819188  |  Delhi    |
| a5b1ab3@me.com       |  9813820  |  Chennai  |
| 49b623d@hotmail.com  |  98334    |  Kolkatta |
| 0ad8472@me.com       |  9817281  |  Delhi    |
| b80f399@yahoo.com    |  9817148  |  Chennai  |
| 50c510a@me.com       |  981057   |  Chennai  |
| c3e1489@yahoo.com    |  983638   |  Kolkatta |
| 80806d0@hotmail.com  |  984888   |  Chennai  |
| b570c4f@gmail.com    |  9826014  |  Mumbai   |
| d5f5f1b@yahoo.com    |  9827342  |  Chennai  |
| 31d1aa8@yahoo.com    |  9829122  |  Chennai  |
| 91ef43b@me.com       |  987768   |  Chennai  |
| 454be51@me.com       |  9821149  |  Mumbai   |
| 6d45dc4@hotmail.com  |  9817143  |  Kolkatta |
| b7d9d0d@gmail.com    |  988468   |  Lucknow  |
| f29d15b@hotmail.com  |  982454   |  Mumbai   |
| 9444b0a@hotmail.com  |  988315   |  Chennai  |
| 93f8188@hotmail.com  |  982126   |  Delhi    |
| 842624b@yahoo.com    |  988207   |  Kolkatta |
| 614d167@yahoo.com    |  9813283  |  Chennai  |
